user_ip,R,A,G
127.0.0.1,1,0,0
127.0.0.1,1,0,0
127.0.0.1,0,1,0
127.0.0.1,0,0,1
127.0.0.1,1,0,0
127.0.0.1,0,1,0
127.0.0.1,0,0,1
127.0.0.1,1,0,0
127.0.0.1,0,1,0
127.0.0.1,1,0,0
127.0.0.1,1,0,0
127.0.0.1,1,0,0
127.0.0.1,0,0,1
127.0.0.1,0,1,0
128.0.0.1,0,50,0
127.0.0.1,1,0,0
127.0.0.1,0,1,0
127.0.0.1,0,0,1
127.0.0.1,0,0,1
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,0,1
127.0.0.1,0,0,1
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,0,0
127.0.0.1,1,0,0
127.0.0.1,1,0,0
127.0.0.1,1,0,0
127.0.0.1,1,0,0
127.0.0.1,1,0,0
127.0.0.1,1,0,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,0,1
127.0.0.1,0,1,0
127.0.0.1,0,0,1
127.0.0.1,0,1,0
127.0.0.1,1,0,0
127.0.0.1,0,0,1
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,1,0,0
127.0.0.1,1,0,0
127.0.0.1,1,0,0
127.0.0.1,1,0,0
127.0.0.1,1,0,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0
127.0.0.1,0,1,0